component,max,mean,p50,p75,p90,p95,policy,resolved_risk_family,row_count
projected_smoothness,0.008333333780368268,0.0018055555721124149,0.0008333327372869181,0.0041666671137015054,0.0041666671137015054,0.004791667113701514,canopy_dew_first_v1,canopy_dew_lt0,18
projected_low_reversal,0.0,0.0,0.0,0.0,0.0,0.0,canopy_dew_first_v1,canopy_dew_lt0,18
projected_energy_proxy,0.23666666174928352,0.07888888724976117,0.0,0.23666666174928352,0.23666666174928352,0.23666666174928352,canopy_dew_first_v1,canopy_dew_lt0,18
prior_confidence_bonus,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055999999999999994,canopy_dew_first_v1,canopy_dew_lt0,18
risk_static_hold_penalty,0.0,0.0,0.0,0.0,0.0,0.0,canopy_dew_first_v1,canopy_dew_lt0,18
rewrite_penalty,0.0,0.0,0.0,0.0,0.0,0.0,canopy_dew_first_v1,canopy_dew_lt0,18
uncertainty_penalty,0.0,0.0,0.0,0.0,0.0,0.0,canopy_dew_first_v1,canopy_dew_lt0,18
final_score,0.10708333255102254,0.07259027745740292,0.056374999731779285,0.10520833255102247,0.10520833255102247,0.10548958255102248,canopy_dew_first_v1,canopy_dew_lt0,18
base_final_score,0.05108333255102249,0.035229700327548026,0.04733333277661611,0.049208332551022416,0.05108333255102249,0.05108333255102249,canopy_dew_first_v1,canopy_dew_lt1,39
raw_smoothness,0.011666666666666714,0.0035683764609104377,0.0033333338346529517,0.0041666671137015054,0.008333333780368268,0.011666666666666714,canopy_dew_first_v1,canopy_dew_lt1,39
raw_low_reversal,0.0,0.0,0.0,0.0,0.0,0.0,canopy_dew_first_v1,canopy_dew_lt1,39
raw_energy_proxy,0.23666666174928352,0.16811965460069161,0.23666666174928352,0.23666666174928352,0.23666666174928352,0.23666666174928352,canopy_dew_first_v1,canopy_dew_lt1,39
projected_smoothness,0.011666666666666714,0.0035683764609104377,0.0033333338346529517,0.0041666671137015054,0.008333333780368268,0.011666666666666714,canopy_dew_first_v1,canopy_dew_lt1,39
projected_low_reversal,0.0,0.0,0.0,0.0,0.0,0.0,canopy_dew_first_v1,canopy_dew_lt1,39
